province,region,address,companyName,special,general,contact,담당과,team,officerContact
서울,강동구,풍성로 57번길 20 (성내동),(주)에스오에스,5,2,1800-6534,보건의료정책과,응급의료관리팀,02-2133-7543
서울,강동구,암사길 19  3층 (암사동),(주)한성응급환자이송단,5,6,02-442-0129,보건의료정책과,응급의료관리팀,02-2133-7543
서울,강동구,구천면로 62길 9,㈜제일응급환자이송단,6,14,02-426-1339,보건의료정책과,응급의료관리팀,02-2133-7543
서울,강서구,등촌로 49-5 4층,(주)서울911이송센터,7,8,1588-4129,보건의료정책과,응급의료관리팀,02-2133-7543
서울,금천구,독산로 328,㈜선응급환자이송,12,3,02-853-4455,보건의료정책과,응급의료관리팀,02-2133-7543
서울,노원구,섬밭로 66  2층,(주)서울129구급대,5,11,02-971-0129,보건의료정책과,응급의료관리팀,02-2133-7543
서울,도봉구, 노해로45길47,(주)9119구급센타,10,4,02-926-9119,보건의료정책과,응급의료관리팀,02-2133-7543
서울,동대문구, 한천로 121-5 (답십리동),쿱3119응급환자이송협동조합,6,9,010-8514-9119,보건의료정책과,응급의료관리팀,02-2133-7543
서울,동작구, 보라매로 77(2층),(주)대한응급환자이송단,11,7,02-821-1119,보건의료정책과,응급의료관리팀,02-2133-7543
서울,마포구,월드컵북로 187  3층 (성산동),(주)이엠에스응급환자이송센터,5,13,02-313-1339,보건의료정책과,응급의료관리팀,02-2133-7543
서울,서대문구,수색로 19-1 (남가좌동),㈜24시응급환자이송단,6,2,02-304-0129,보건의료정책과,응급의료관리팀,02-2133-7543
서울,서대문구,연희로 190  201호 (연희동),㈜이엠에스코리아,5,4,02-420-2114,보건의료정책과,응급의료관리팀,02-2133-7543
서울,서초구, 서초중앙로 83 서운빌딩 601호,㈜엠티케어,7,3,02-595-1339,보건의료정책과,응급의료관리팀,02-2133-7543
서울,성동구, 독서당로 398 노선상가 2층 201  202호,(주)129응급구조단,5,7,02-456-1339,보건의료정책과,응급의료관리팀,02-2133-7543
서울,송파구,거마로 41  2층 203호(거여동  현대2차 아파트),(주)코리아환자이송센터,10,7,02-402-8129,보건의료정책과,응급의료관리팀,02-2133-7543
서울,송파구,가락로 20  LG전자대리점 3층 (석촌동),㈜중앙응급환자이송단,9,4,02-413-5129,보건의료정책과,응급의료관리팀,02-2133-7543
서울,양천구,남부순환로 514  502호,(주)성심환자이송단,5,6,02-2691-1339,보건의료정책과,응급의료관리팀,02-2133-7543
서울,양천구,남부순환로 387 3층,129이엠에스,5,3,1522-8482,보건의료정책과,응급의료관리팀,02-2133-7543
서울,영등포구,영등포로84길12 2층 (신길동),(주)클로버이엠에스,5,1,1833-5129,보건의료정책과,응급의료관리팀,02-2133-7543
서울,영등포구, 가마산로48길18,주식회사대한911구조대,9,3,010-4137-2312,보건의료정책과,응급의료관리팀,02-2133-7543
서울,중랑구,중랑천로 364 해명빌딩 2층,㈜EMS명품,6,3,02-6368-2119,보건의료정책과,응급의료관리팀,02-2133-7543
서울,중랑구,동일로15길 60 기림빌딩 B-02호,㈜한국응급구조대,8,3,02-948-9494,보건의료정책과,응급의료관리팀,02-2133-7543
