dataCrtYmd,stdgCtpvSggCd,stdgEmdCd,roadNmNo,udgdYn,bmno,bsno,mvmnSn,ctpvNm,sggNm,umdNm,roadNm,chgBfrStdgCtpvSggCd,chgBfrStdgEmdCd,chgBfrRoadNmNo,chgBfrUdgdYn,chgBfrBmno,chgBfrBsno,chgBfrCtpvNm,chgBfrSggNm,chgBfrUmdNm,chgBfrRoadNm,chgRsnCd,updtSeCd,chgRsn
20210705,28110,152,3149073,0,24,2,1,인천광역시,중구,무의동,큰무리로,28110,152,3149073,0,24,1,인천광역시,중구,무의동,큰무리로,35,C,
20210707,28710,350,4271580,0,112,18,1,인천광역시,강화군,양도면,정문길,28710,350,4271580,0,98,16,인천광역시,강화군,양도면,정문길,34,U,소유자 요청에 의한 변경
20210716,28237,101,4262381,0,25,0,1,인천광역시,부평구,부평동,부평대로71번길,28237,101,4262379,0,10,93,인천광역시,부평구,부평동,부평대로63번길,37,U,
20210716,28710,330,4271551,0,66,6,1,인천광역시,강화군,길상면,장촌길,28710,330,4271551,0,66,4,인천광역시,강화군,길상면,장촌길,34,U,진출입로 정정으로 인한 변경
20210719,28260,119,4268565,0,11,9,1,인천광역시,서구,오류동,원당대로206번길,28260,119,4268565,0,11,7,인천광역시,서구,오류동,원당대로206번길,35,C,
20210719,28260,120,3156043,0,62,17,1,인천광역시,서구,왕길동,사월로,28260,120,3156043,0,62,15,인천광역시,서구,왕길동,사월로,35,C,
20210719,28260,120,3156043,0,62,19,1,인천광역시,서구,왕길동,사월로,28260,120,3156043,0,62,15,인천광역시,서구,왕길동,사월로,35,C,
20210722,28720,360,3158028,0,57,39,1,인천광역시,옹진군,영흥면,영흥남로,28720,360,3158028,0,57,38,인천광역시,옹진군,영흥면,영흥남로,35,C,
20210722,28720,360,3158028,0,57,43,1,인천광역시,옹진군,영흥면,영흥남로,28720,360,3158028,0,57,38,인천광역시,옹진군,영흥면,영흥남로,35,C,
20210726,28260,119,4858476,0,28,0,1,인천광역시,서구,오류동,반월로81번길,28260,119,4858476,0,30,0,인천광역시,서구,오류동,반월로81번길,37,U,
20210802,28260,110,3156052,0,16,0,1,인천광역시,서구,석남동,신석로,28260,110,3156052,0,20,0,인천광역시,서구,석남동,신석로,35,C,
20210802,28260,110,3156052,0,22,0,1,인천광역시,서구,석남동,신석로,28260,110,3156052,0,20,0,인천광역시,서구,석남동,신석로,35,C,
20210802,28260,110,3156052,0,24,0,1,인천광역시,서구,석남동,신석로,28260,110,3156052,0,20,0,인천광역시,서구,석남동,신석로,35,C,
20210802,28260,110,3156052,0,26,0,1,인천광역시,서구,석남동,신석로,28260,110,3156052,0,20,0,인천광역시,서구,석남동,신석로,35,C,
