번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥로 440-8,인천광역시 옹진군 영흥면 내리 237,생활방범,1,200,360도전방면,30,2011-12,032-899-2040,37.25379201,126.4668789,2021-10-20
2,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 선재로 358,인천광역시 옹진군 영흥면 선재리 636-16,생활방범,1,130,360도전방면,30,2012-11,032-899-2040,37.25407335,126.5120685,2021-10-20
3,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥북로35번길 34,인천광역시 옹진군 영흥면 내리 5-23,생활방범,1,130,360도전방면,30,2012-11,032-899-2040,37.25763703,126.4997811,2021-10-20
4,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥북로 389,인천광역시 옹진군 영흥면 내리 724-127,생활방범,3,200,360도전방면,30,2012-11,032-899-2040,37.28118378,126.4857106,2021-10-20
5,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥서로496번길 55,인천광역시 옹진군 영흥면 내리 1329-25,생활방범,1,130,360도전방면,30,2012-11,032-899-2040,37.27992751,126.4546566,2021-10-20
6,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥북로 154,인천광역시 옹진군 영흥면 내리 39-141,생활방범,3,130,360도전방면,30,2013-06,032-899-2040,37.26491896,126.4959044,2021-10-20
7,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥남로293번길 4,인천광역시 옹진군 영흥면 외리 915-8,생활방범,1,130,360도전방면,30,2013-06,032-899-2040,37.24325765,126.4512152,2021-10-20
8,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥로348번길 175-29,인천광역시 옹진군 영흥면 내리 416,생활방범,1,130,360도전방면,30,2013-01,032-899-2040,37.25894812,126.4730065,2021-10-20
9,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥남로 187,인천광역시 옹진군 영흥면 외리 470-1,생활방범,3,130,360도전방면,30,2014-06,032-899-2040,37.24081167,126.4624849,2021-10-20
10,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 내동로 107,인천광역시 옹진군 영흥면 내리 496-95,생활방범,1,130,360도전방면,30,2014-01,032-899-2040,37.26520804,126.4794204,2021-10-20
11,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 선재로34번길 64,인천광역시 옹진군 영흥면 선재리 108-47,생활방범,5,200,360도전방면,30,2015-06,032-899-2040,37.23333284,126.5375528,2021-10-20
12,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥로176번길 26,인천광역시 옹진군 영흥면 내리 1867,생활방범,4,200,360도전방면,30,2016-05,032-899-2040,37.25942231,126.4941329,2021-10-20
13,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 선재로34번길 101,인천광역시 옹진군 영흥면 선재리 96,생활방범,1,200,360도전방면,30,2016-05,032-899-2040,37.2348685,126.537629,2021-10-20
14,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 선재로116번길 6,인천광역시 옹진군 영흥면 선재리 349-1,생활방범,5,200,360도전방면,30,2017-12,032-899-2040,37.23905631,126.5302465,2021-10-20
15,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥로 299,인천광역시 옹진군 영흥면 내리 213-7,생활방범,1,200,360도전방면,30,2017-12,032-899-2040,37.25552887,126.4814123,2021-10-20
16,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 내동로 183,인천광역시 옹진군 영흥면 내리 960-2,생활방범,4,200,360도전방면,30,2017-12,032-899-2040,37.27331763,126.4803116,2021-10-20
17,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥남로9번길 380,인천광역시 옹진군 영흥면 외리 32-5,생활방범,5,200,360도전방면,30,2017-12,032-899-2040,37.24082924,126.4728081,2021-10-20
18,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥로326번길 154-52,인천광역시 옹진군 영흥면 내리 475-7,생활방범,2,200,360도전방면,30,2018-04,032-899-2040,37.26210093,126.4793426,2021-10-20
19,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥로525번길 168,인천광역시 옹진군 영흥면 내리 1510-1,생활방범,2,200,360도전방면,30,2018-04,032-899-2040,37.26098258,126.4527325,2021-10-20
20,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥로 723,인천광역시 옹진군 영흥면 내리 1655,생활방범,2,200,360도전방면,30,2018-04,032-899-2040,37.27257211,126.4540061,2021-10-20
21,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 선재로 304,인천광역시 옹진군 영흥면 선재리 621,생활방범,2,200,360도전방면,30,2018-04,032-899-2040,37.25239861,126.517634,2021-10-20
22,인천광역시 옹진군 재난안전담당관,,인천광역시 옹진군 영흥면 외리 68-186,생활방범,2,200,360도전방면,30,2019-02,032-899-2040,37.249842,126.477472,2021-10-20
23,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥로144번길 38-14,인천광역시 옹진군 영흥면 내리 8-255,생활방범,4,200,360도전방면,30,2019-08,032-899-2040,37.25728606,126.4969066,2021-10-20
24,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥로156번길 33-16,인천광역시 옹진군 영흥면 내리 8-66,생활방범,3,200,360도전방면,30,2019-12,032-899-2040,37.25891776,126.4949839,2021-10-20
25,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥로 144번길 9,인천광역시 옹진군 영흥면 내리 8-47,생활방범,4,200,360도전방면,30,2020-06,032-899-2040,37.25699675,126.4956709,2021-10-20
26,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥북로 156번길 12-15,인천광역시 옹진군 내리 8-56,생활방범,4,200,360도전방면,30,2020-06,032-899-2040,37.25780271,126.4946794,2021-10-20
27,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 영흥면 영흥로 144번길 37-4,인천광역시 옹진군 내리 8-76,생활방범,4,200,360도전방면,30,2020-06,032-899-2040,37.25783821,126.4968184,2021-10-20
28,인천광역시 옹진군 해양시설과,"인천광역시 옹진군 영흥면 선재로 363, 넛출선착장",인천광역시 옹진군 영흥면 선재리 636-5 넛출선착장,쓰레기단속,1,330,넛출선착장,30,2017-07,032-899-3433,37.253511,126.511488,2021-10-20
29,인천광역시 옹진군 해양시설과,"인천광역시 옹진군 영흥면 선재로 363, 영흥대교위",인천광역시 옹진군 영흥면 선재리 636-5 영흥대교위,쓰레기단속,1,330,넛출선착장,30,2017-07,032-899-2664,37.253943,126.510645,2021-10-20
30,인천광역시 옹진군 해양시설과,"인천광역시 옹진군 대청면 대청로 30, 선진포물량장",인천광역시 옹진군 대청면 대청리 377-24 선진포물량장,쓰레기단속,1,1200,선진포물량장,30,2017-12,032-899-2664,37.826378,124.714432,2021-10-20
31,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 장봉로 553,인천광역시 옹진군 북도면 장봉리 1127-1,생활방범,1,200,360도전방면,30,2010-01,032-899-2040,37.53391097,126.3376006,2021-10-20
32,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 장봉로 77,인천광역시 옹진군 북도면 장봉리 20-28,생활방범,1,200,360도전방면,30,2009-01,032-899-2040,37.53094664,126.384546,2021-10-20
33,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 시도로104번길 151,인천광역시 옹진군 북도면 시도리 108,생활방범,1,200,360도전방면,30,2012-11,032-899-2040,37.53936506,126.425228,2021-10-20
34,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 장봉로 202,인천광역시 옹진군 북도면 장봉리 126,생활방범,1,130,360도전방면,30,2013-06,032-899-2040,37.53079912,126.371591,2021-10-20
35,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 신도로 940,인천광역시 옹진군 북도면 신도리 569,생활방범,1,130,360도전방면,30,2014-06,032-899-2040,37.52021527,126.4367908,2021-10-20
36,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 모도로50번길 10,인천광역시 옹진군 북도면 모도리 73,생활방범,1,200,360도전방면,30,2015-06,032-899-2040,37.53577353,126.4130996,2021-10-20
37,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 신도로 262,인천광역시 옹진군 북도면 신도리 794,생활방범,1,200,360도전방면,30,2016-05,032-899-2040,37.52858728,126.4367913,2021-10-20
38,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 장봉로582번길 181-11,인천광역시 옹진군 북도면 장봉리 442-3,생활방범,1,200,360도전방면,30,2018-01,032-899-2040,37.53848184,126.3397235,2021-10-20
39,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 신도로484번길 13,인천광역시 옹진군 북도면 신도리 100,생활방범,2,200,360도전방면,30,2019-02,032-899-2040,37.53211692,126.457876,2021-10-20
40,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 신도로 164,인천광역시 옹진군 북도면 신도리 953,생활방범,3,200,360도전방면,30,2019-08,032-899-2040,37.52306953,126.4337603,2021-10-20
41,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 신도로 5,인천광역시 옹진군 북도면 신도리523-49,생활방범,1,200,360도전방면,30,2000-01,032-899-2040,37.51433,126.43919,2021-10-20
42,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 시도로61번길 65-4,인천광역시 옹진군 북도면 시도리 364-2,생활방범,1,200,360도전방면,30,2000-01,032-899-2040,37.5326189,126.4273827,2021-10-20
43,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 시도로86번길 291-48,인천광역시 옹진군 시도로45-1,생활방범,4,200,360도전방면,30,2020-06,032-899-2040,37.54411701,126.4318158,2021-10-20
44,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 북도면 장봉로200번길 62,인천광역시 옹진군 장봉리114,생활방범,3,200,360도전방면,30,2020-06,032-899-2040,37.53310986,126.3722908,2021-10-20
45,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 연평면 연평로 10,인천광역시 옹진군 연평면 연평리 산 16-2,생활방범,1,200,360도전방면,30,2009-01,032-899-2040,37.65473476,125.7123421,2021-10-20
46,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 연평면 연평로 143-1,인천광역시 옹진군 연평면 연평리 325-121,생활방범,1,200,360도전방면,30,2009-01,032-899-2040,37.66019447,125.7011782,2021-10-20
47,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 연평면 연평중앙로 19-11,인천광역시 옹진군 연평면 연평리 371-1,생활방범,1,200,360도전방면,30,2010-01,032-899-2040,37.66361688,125.7023879,2021-10-20
48,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 연평면 연평로 203,인천광역시 옹진군 연평면 연평리 195,생활방범,1,200,360도전방면,30,2013-07,032-899-2040,37.66405131,125.7058482,2021-10-20
49,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 연평면 연평로 301,인천광역시 옹진군 연평면 연평리 112,생활방범,1,200,360도전방면,30,2012-12,032-899-2040,37.67118689,125.7094918,2021-10-20
50,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 연평면 연평로 203,인천광역시 옹진군 연평면 연평리 195,생활방범,1,200,360도전방면,30,2012-12,032-899-2040,37.66405131,125.7058482,2021-10-20
51,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 연평면 연평로167번길 56,인천광역시 옹진군 연평면 연평리 325-159,생활방범,1,130,360도전방면,30,2014-06,032-899-2040,37.66047482,125.7004571,2021-10-20
52,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 연평면 연평중앙로 11,인천광역시 옹진군 연평면 연평리 354-1,생활방범,1,130,360도전방면,30,2015-06,032-899-2040,37.66337643,125.7034619,2021-10-20
53,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 연평면 연평로 153,인천광역시 옹진군 연평면 연평리 325-18,생활방범,1,200,360도전방면,30,2016-01,032-899-2040,37.66096435,125.7017133,2021-10-20
54,인천광역시 옹진군 재난안전담당관,인천광역시 옹진군 백령면 백령로 276-1,인천광역시 옹진군 백령면 진촌리 695-16,생활방범,4,200,360도전방면,30,2009-01,032-899-2040,37.97127247,124.7181052,2021-10-20
