호선,역명,장비종류,호기,승강기번호,운행구간,설치위치,위도,경도
1,검단호수공원역,EL,1,2282-553,대합실↔승강장,"(B1) 에스컬레이터 2호기/3호기 사이, (B2) 종착역 승강장 5-2 출입문 앞",,
1,검단호수공원역,EL,2,2282-554,대합실↔승강장,"(B1) 에스컬레이터 5호기/6호기 사이, (B2) 신검단중앙역 방향 승강장 4-3 출입문 앞",,
1,검단호수공원역,EL,3,2282-555,지상층↔대합실,"(1F) 1번 출입구 옆, (B1) 1번 출입구 방향",37.602571946910736,126.68766299952912
1,신검단중앙역,EL,1,2282-548,지하2층↔지하3층 ,"(B2) 에스컬레이터 1/2호기 사이, (B3) 검단호수공원역 방향 승강장 4-3 출입문 앞",,
1,신검단중앙역,EL,2,2282-549,지하2층↔지하3층 ,"(B2) 에스컬레이터 5/6호기 사이, (B3) 아라역 방향 승강장 5-2 출입문 앞",,
1,신검단중앙역,EL,3,2282-550,대합실↔외부,"(B2)2번 출입구/아기쉼터 사이 통로 끝, (1F)2번 출입구 뒤편 횡단보도 옆",37.60281965792583,126.69890715916041
1,신검단중앙역,EL,4,2282-551,대합실↔외부,"(B2)4번 출입구 통로 끝, (1F)4번 출입구 뒤편 횡단보도 옆",37.60240164722827,126.69839641455971
1,아라역,EL,1,2282-583,지하1층↔지하2층,"(B2) 신검단중앙역 방향 승강장 4-3 출입문 앞(건축창고, PSD기계실 사이)",,
1,아라역,EL,2,2282-584,지하1층↔지하2층,"(B2) 계양역 방향 승강장 5-2 출입문 앞(알람밸브실, PSD기계실 사이)",,
1,아라역,EL,3,2282-581,대합실↔외부,"(B1) 대합실 1,2번 출입구 방향, 1번출구 옆",37.592521858963174,126.71358634329621
1,아라역,EL,4,2282-582,대합실↔외부,"(B1) 대합실 5,6번 출입구 방향, 5번출구 옆",37.59194859504403,126.71311864304158
1,대피3,EL,검단본선1,2282-590,지상층↔지하4층,"(1F) 환기탑, (B1) 본선환기실 , (B2) 본선환기실, (B3) 본선환기실, (B4)선로피난층",,
